scenario,leak_rate,seed,demand_cov
evidence_only,0.25,44,0.8785
evidence_only,0.25,45,0.8825
evidence_only,0.25,46,0.8703
evidence_only,0.25,47,0.8780
evidence_only,0.25,48,0.8772
evidence_only,0.25,49,0.8747
evidence_only,0.5,0,0.8757
evidence_only,0.5,1,0.8819
evidence_only,0.5,2,0.8828
evidence_only,0.5,3,0.8810
evidence_only,0.5,4,0.8638
evidence_only,0.5,5,0.8698
evidence_only,0.5,6,0.8759
evidence_only,0.5,7,0.8878
evidence_only,0.5,8,0.8826
evidence_only,0.5,9,0.8624
evidence_only,0.5,10,0.8794
evidence_only,0.5,11,0.8978
evidence_only,0.5,12,0.8659
evidence_only,0.5,13,0.8894
evidence_only,0.5,14,0.8642
evidence_only,0.5,15,0.8810
evidence_only,0.5,16,0.8791
evidence_only,0.5,17,0.8778
evidence_only,0.5,18,0.8872
