result_id,experiment_family,split,method,metric,value,sample_size,status,source_release,source_commit,source_file,source_sha256,verification_method,local_rerun,notes
b0_d3_statistics.4.diff,b0_d3_statistics,internal_blind,,diff,0.0637,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.4.p_value,b0_d3_statistics,internal_blind,,p_value,0.0002,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.4.ci95_low,b0_d3_statistics,internal_blind,,ci95_low,0.0418,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.4.ci95_high,b0_d3_statistics,internal_blind,,ci95_high,0.088,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.5.diff,b0_d3_statistics,internal_blind,,diff,0.0354,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.5.p_value,b0_d3_statistics,internal_blind,,p_value,0.0002,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.5.ci95_low,b0_d3_statistics,internal_blind,,ci95_low,0.0184,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.5.ci95_high,b0_d3_statistics,internal_blind,,ci95_high,0.0549,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.6.diff,b0_d3_statistics,internal_blind,,diff,0.01,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
b0_d3_statistics.6.p_value,b0_d3_statistics,internal_blind,,p_value,0.154385,,VERIFIED_FROM_RELEASE,historical v1.x paper-support release,876a16d098e1da3f642ef70854cbc985bae5f9e3,paper_results/manifests/significance.csv,a1c49d730a037063670e44d42816cd2e919cdedf0724cc8cb91bcd9a81bc62fd,sha256_schema_row_count,false,
